season,sport,sex,division,school,wins,losses,ties
fall,Golf,M,Herget,Needham,7,2,
fall,Golf,M,Herget,Walpole,6,3,
fall,Golf,M,Herget,Weymouth,1,8,
fall,Soccer,M,Carey,Brookline,6,3,4
fall,Soccer,M,Carey,Framingham,7,2,4
fall,Soccer,M,Carey,Natick,1,9,3
fall,Soccer,M,Carey,Newton North,8,1,4
fall,Soccer,M,Carey,Wellesley,2,9,2
fall,Soccer,M,Herget,Braintree,2,7,4
fall,Soccer,M,Herget,Milton,3,8,2
fall,Soccer,M,Herget,Needham,10,0,3
fall,Soccer,M,Herget,Walpole,5,6,2
fall,Soccer,M,Herget,Weymouth,5,4,4
fall,Soccer,F,Carey,Brookline,9,2,2
fall,Soccer,F,Carey,Framingham,5,5,3
fall,Soccer,F,Carey,Natick,9,1,3
fall,Soccer,F,Carey,Newton North,1,9,3
fall,Soccer,F,Carey,Wellesley,9,3,1
fall,Soccer,F,Herget,Braintree,2,9,2
fall,Soccer,F,Herget,Milton,1,11,1
fall,Soccer,F,Herget,Needham,10,3,
fall,Soccer,F,Herget,Walpole,6,6,1
fall,Soccer,F,Herget,Weymouth,5,8,
fall,Swimming & Diving,F,Carey,Brookline,6,3,
fall,Swimming & Diving,F,Carey,Framingham,6,3,
fall,Swimming & Diving,F,Carey,Natick,1,8,
fall,Swimming & Diving,F,Carey,Newton North,4,5,
fall,Swimming & Diving,F,Carey,Wellesley,9,0,
fall,Swimming & Diving,F,Herget,Braintree,2,7,
fall,Swimming & Diving,F,Herget,Milton,7,2,
fall,Swimming & Diving,F,Herget,Needham,7,2,
fall,Swimming & Diving,F,Herget,Walpole,3,6,
fall,Swimming & Diving,F,Herget,Weymouth,0,9,
fall,Volleyball,F,Carey,Brookline,5,8,
fall,Volleyball,F,Carey,Framingham,1,12,
fall,Volleyball,F,Carey,Natick,9,4,
fall,Volleyball,F,Carey,Newton North,12,1,
fall,Volleyball,F,Carey,Wellesley,9,4,
fall,Volleyball,F,Herget,Braintree,4,9,
fall,Volleyball,F,Herget,Milton,8,5,
fall,Volleyball,F,Herget,Needham,13,0,
fall,Volleyball,F,Herget,Walpole,4,9,
fall,Volleyball,F,Herget,Weymouth,0,13,
winter,Basketball,M,Carey,Brookline,8,5,
winter,Basketball,M,Carey,Framingham,5,8,
winter,Basketball,M,Carey,Natick,8,5,
winter,Basketball,M,Carey,Newton North,12,1,
winter,Basketball,M,Carey,Wellesley,3,10,
winter,Basketball,M,Herget,Braintree,5,8,
winter,Basketball,M,Herget,Milton,0,13,
winter,Basketball,M,Herget,Needham,12,1,
winter,Basketball,M,Herget,Walpole,8,5,
winter,Basketball,M,Herget,Weymouth,4,9,
winter,Basketball,F,Carey,Brookline,9,4,
winter,Basketball,F,Carey,Framingham,8,5,
winter,Basketball,F,Carey,Natick,9,4,
winter,Basketball,F,Carey,Newton North,7,6,
winter,Basketball,F,Carey,Wellesley,1,12,
winter,Basketball,F,Herget,Braintree,6,7,
winter,Basketball,F,Herget,Milton,1,12,
winter,Basketball,F,Herget,Needham,9,4,
winter,Basketball,F,Herget,Walpole,12,1,
winter,Basketball,F,Herget,Weymouth,3,10,
winter,Gymnastics,F,Carey,Brookline,3,5,
winter,Gymnastics,F,Carey,Framingham,8,0,
winter,Gymnastics,F,Carey,Natick,7,1,
winter,Gymnastics,F,Carey,Newton North,3,5,
winter,Gymnastics,F,Carey,Wellesley,6,2,
winter,Gymnastics,F,Herget,Braintree,1,7,
winter,Gymnastics,F,Herget,Needham,1,7,
winter,Gymnastics,F,Herget,Walpole,2,6,
winter,Gymnastics,F,Herget,Weymouth,5,3,
winter,Ice Hockey,M,Carey,Brookline,5,8,
winter,Ice Hockey,M,Carey,Framingham,6,4,3
winter,Ice Hockey,M,Carey,Natick,6,5,2
winter,Ice Hockey,M,Carey,Newton North,0,13,
winter,Ice Hockey,M,Carey,Wellesley,8,1,4
winter,Ice Hockey,M,Herget,Braintree,12,0,1
winter,Ice Hockey,M,Herget,Milton,6,7,
winter,Ice Hockey,M,Herget,Needham,4,9,
winter,Ice Hockey,M,Herget,Walpole,8,5,
winter,Ice Hockey,M,Herget,Weymouth,4,7,2
winter,Ice Hockey,F,Carey,Brookline,2,10,1
winter,Ice Hockey,F,Carey,Framingham,5,6,2
winter,Ice Hockey,F,Carey,Natick,11,1,1
winter,Ice Hockey,F,Carey,Newton North,1,10,2
winter,Ice Hockey,F,Carey,Wellesley,8,4,1
winter,Ice Hockey,F,Herget,Braintree,10,3,
winter,Ice Hockey,F,Herget,Milton,3,9,1
winter,Ice Hockey,F,Herget,Needham,7,3,3
winter,Ice Hockey,F,Herget,Walpole,6,7,
winter,Ice Hockey,F,Herget,Weymouth,6,6,1
winter,Indoor Track & Field,M,Carey,Brookline,2,2,
winter,Indoor Track & Field,M,Carey,Framingham,0,4,
winter,Indoor Track & Field,M,Carey,Natick,3,1,
winter,Indoor Track & Field,M,Carey,Newton North,4,0,
winter,Indoor Track & Field,M,Carey,Wellesley,1,3,
winter,Indoor Track & Field,M,Herget,Braintree,0,4,
winter,Indoor Track & Field,M,Herget,Milton,1,3,
winter,Indoor Track & Field,M,Herget,Needham,4,0,
winter,Indoor Track & Field,M,Herget,Walpole,3,1,
winter,Indoor Track & Field,M,Herget,Weymouth,2,2,
winter,Indoor Track & Field,F,Carey,Brookline,1,3,
winter,Indoor Track & Field,F,Carey,Framingham,0,4,
winter,Indoor Track & Field,F,Carey,Natick,2,2,
winter,Indoor Track & Field,F,Carey,Newton North,3,1,
winter,Indoor Track & Field,F,Carey,Wellesley,4,0,
winter,Indoor Track & Field,F,Herget,Braintree,0,4,
winter,Indoor Track & Field,F,Herget,Milton,1,3,
winter,Indoor Track & Field,F,Herget,Needham,2,1,1
winter,Indoor Track & Field,F,Herget,Walpole,4,0,
winter,Indoor Track & Field,F,Herget,Weymouth,2,1,1
winter,Swimming & Diving,M,Carey,Brookline,3,2,
winter,Swimming & Diving,M,Carey,Framingham,3,2,
winter,Swimming & Diving,M,Carey,Natick,1,4,
winter,Swimming & Diving,M,Carey,Newton North,0,5,
winter,Swimming & Diving,M,Carey,Wellesley,3,2,
winter,Swimming & Diving,M,Herget,Needham,5,0,
winter,Wrestling,M,Carey,Brookline,6,3,
winter,Wrestling,M,Carey,Framingham,8,1,
winter,Wrestling,M,Carey,Natick,9,0,
winter,Wrestling,M,Carey,Newton North,4,4,1
winter,Wrestling,M,Carey,Wellesley,1,8,
winter,Wrestling,M,Herget,Braintree,4,5,
winter,Wrestling,M,Herget,Milton,7,2,
winter,Wrestling,M,Herget,Needham,3,5,1
winter,Wrestling,M,Herget,Walpole,2,7,
winter,Wrestling,M,Herget,Weymouth,0,9,
spring,Baseball,M,Carey,Brookline,3,10,
spring,Baseball,M,Carey,Framingham,7,6,
spring,Baseball,M,Carey,Natick,8,5,
spring,Baseball,M,Carey,Newton North,8,5,
spring,Baseball,M,Carey,Wellesley,4,9,
spring,Baseball,M,Herget,Braintree,8,5,
spring,Baseball,M,Herget,Milton,11,2,
spring,Baseball,M,Herget,Needham,6,7,
spring,Baseball,M,Herget,Walpole,8,5,
spring,Baseball,M,Herget,Weymouth,2,11,
spring,Softball,F,Carey,Brookline,1,12,
spring,Softball,F,Carey,Framingham,6,7,
spring,Softball,F,Carey,Natick,7,6,
spring,Softball,F,Carey,Newton North,11,2,
spring,Softball,F,Carey,Wellesley,4,9,
spring,Softball,F,Herget,Braintree,7,6,
spring,Softball,F,Herget,Milton,8,5,
spring,Softball,F,Herget,Needham,9,4,
spring,Softball,F,Herget,Walpole,12,1,
spring,Softball,F,Herget,Weymouth,0,13,
spring,Lacrosse,M,Carey,Brookline,2,11,
spring,Lacrosse,M,Carey,Framingham,6,7,
spring,Lacrosse,M,Carey,Natick,12,1,
spring,Lacrosse,M,Carey,Newton North,7,6,
spring,Lacrosse,M,Carey,Wellesley,8,5,
spring,Lacrosse,M,Herget,Braintree,1,12,
spring,Lacrosse,M,Herget,Milton,3,10,
spring,Lacrosse,M,Herget,Needham,13,0,
spring,Lacrosse,M,Herget,Walpole,10,3,
spring,Lacrosse,M,Herget,Weymouth,3,10,
spring,Lacrosse,F,Carey,Brookline,3,10,
spring,Lacrosse,F,Carey,Framingham,3,10,
spring,Lacrosse,F,Carey,Natick,8,5,
spring,Lacrosse,F,Carey,Newton North,2,11,
spring,Lacrosse,F,Carey,Wellesley,13,0,
spring,Lacrosse,F,Herget,Braintree,3,10,
spring,Lacrosse,F,Herget,Milton,3,10,
spring,Lacrosse,F,Herget,Needham,9,4,
spring,Lacrosse,F,Herget,Walpole,12,1,
spring,Lacrosse,F,Herget,Weymouth,9,4,
spring,Tennis,M,Carey,Brookline,13,0,
spring,Tennis,M,Carey,Framingham,3,10,
spring,Tennis,M,Carey,Natick,3,10,
spring,Tennis,M,Carey,Newton North,10,3,
spring,Tennis,M,Carey,Wellesley,10,3,
spring,Tennis,M,Herget,Braintree,0,13,
spring,Tennis,M,Herget,Milton,5,8,
spring,Tennis,M,Herget,Needham,10,3,
spring,Tennis,M,Herget,Walpole,9,4,
spring,Tennis,M,Herget,Weymouth,2,11,
spring,Tennis,F,Carey,Brookline,12,1,
spring,Tennis,F,Carey,Framingham,3,10,
spring,Tennis,F,Carey,Natick,5,8,
spring,Tennis,F,Carey,Newton North,5,8,
spring,Tennis,F,Carey,Wellesley,11,2,
spring,Tennis,F,Herget,Braintree,10,3,
spring,Tennis,F,Herget,Milton,6,7,
spring,Tennis,F,Herget,Needham,10,3,
spring,Tennis,F,Herget,Walpole,3,10,
spring,Tennis,F,Herget,Weymouth,0,13,
spring,Outdoor Track & Field,M,Carey,Brookline,2,2,
spring,Outdoor Track & Field,M,Carey,Framingham,0,4,
spring,Outdoor Track & Field,M,Carey,Natick,1,3,
spring,Outdoor Track & Field,M,Carey,Newton North,4,0,
spring,Outdoor Track & Field,M,Carey,Wellesley,3,1,
spring,Outdoor Track & Field,M,Herget,Braintree,0,4,
spring,Outdoor Track & Field,M,Herget,Milton,1,3,
spring,Outdoor Track & Field,M,Herget,Needham,4,0,
spring,Outdoor Track & Field,M,Herget,Walpole,3,1,
spring,Outdoor Track & Field,M,Herget,Weymouth,2,2,
spring,Outdoor Track & Field,F,Carey,Brookline,1,3,
spring,Outdoor Track & Field,F,Carey,Framingham,0,4,
spring,Outdoor Track & Field,F,Carey,Natick,2,2,
spring,Outdoor Track & Field,F,Carey,Newton North,3,1,
spring,Outdoor Track & Field,F,Carey,Wellesley,4,0,
spring,Outdoor Track & Field,F,Herget,Braintree,0,4,
spring,Outdoor Track & Field,F,Herget,Milton,1,3,
spring,Outdoor Track & Field,F,Herget,Needham,2,2,
spring,Outdoor Track & Field,F,Herget,Walpole,3,1,
spring,Outdoor Track & Field,F,Herget,Weymouth,4,0,
spring,Volleyball,M,Carey,Brookline,9,5,
spring,Volleyball,M,Carey,Framingham,0,14,
spring,Volleyball,M,Carey,Natick,11,3,
spring,Volleyball,M,Carey,Newton North,10,4,
spring,Volleyball,M,Carey,Wellesley,5,9,
spring,Volleyball,M,Herget,Braintree,4,10,
spring,Volleyball,M,Herget,Needham,14,0,
spring,Volleyball,M,Herget,Weymouth,3,11,
spring,Golf,F,Carey,Brookline,10,2,
spring,Golf,F,Carey,Framingham,2,10,
spring,Golf,F,Carey,Wellesley,12,0,
spring,Golf,F,Herget,Braintree,6,5,1
spring,Golf,F,Herget,Needham,4,7,1
spring,Golf,F,Herget,Walpole,7,5,
spring,Golf,F,Herget,Weymouth,0,12,
